id_prueba,id_asignacion,descripcion,tipo,fecha_ejecucion,resultado,severidad_defecto,tiempo_resolucion_horas
35,5,Prueba auto 35,sistema,2019-07-05,éxito,nula,0
36,5,Prueba auto 36,integración,2019-05-30,fallo,crítica,3
37,5,Prueba auto 37,sistema,2019-07-01,éxito,nula,0
38,5,Prueba auto 38,sistema,2019-06-21,éxito,nula,0
39,5,Prueba auto 39,sistema,2019-06-09,éxito,nula,0
40,5,Prueba auto 40,sistema,2019-06-24,éxito,nula,0
41,5,Prueba auto 41,sistema,2019-06-20,éxito,nula,0
42,5,Prueba auto 42,integración,2019-06-26,éxito,nula,0
43,5,Prueba auto 43,integración,2019-06-27,fallo,baja,7
44,5,Prueba auto 44,sistema,2019-07-03,éxito,nula,0
45,5,Prueba auto 45,sistema,2019-06-02,éxito,nula,0
46,5,Prueba auto 46,integración,2019-05-30,fallo,media,5
47,5,Prueba auto 47,sistema,2019-07-08,éxito,nula,0
48,5,Prueba auto 48,integración,2019-06-20,éxito,nula,0
49,5,Prueba auto 49,integración,2019-06-28,fallo,media,3
50,5,Prueba auto 50,integración,2019-06-26,éxito,nula,0
51,5,Prueba auto 51,integración,2019-06-28,éxito,nula,0
52,5,Prueba auto 52,sistema,2019-07-03,éxito,nula,0
53,5,Prueba auto 53,sistema,2019-06-21,fallo,media,2
54,5,Prueba auto 54,integración,2019-06-15,éxito,nula,0
55,5,Prueba auto 55,integración,2019-07-05,éxito,nula,0
56,5,Prueba auto 56,sistema,2019-06-27,éxito,nula,0
57,5,Prueba auto 57,integración,2019-06-30,éxito,nula,0
58,5,Prueba auto 58,sistema,2019-07-06,éxito,nula,0
59,5,Prueba auto 59,sistema,2019-07-08,éxito,nula,0
60,5,Prueba auto 60,sistema,2019-05-29,éxito,nula,0
61,5,Prueba auto 61,sistema,2019-06-04,éxito,nula,0
62,5,Prueba auto 62,sistema,2019-07-02,éxito,nula,0
63,5,Prueba auto 63,integración,2019-06-25,fallo,media,7
64,5,Prueba auto 64,sistema,2019-06-22,éxito,nula,0
65,5,Prueba auto 65,integración,2019-07-01,éxito,nula,0
66,5,Prueba auto 66,integración,2019-06-28,éxito,nula,0
67,5,Prueba auto 67,sistema,2019-06-04,éxito,nula,0
68,5,Prueba auto 68,integración,2019-06-09,éxito,nula,0
69,5,Prueba auto 69,integración,2019-07-02,éxito,nula,0
70,5,Prueba auto 70,sistema,2019-06-29,éxito,nula,0
71,5,Prueba auto 71,sistema,2019-05-27,éxito,nula,0
72,5,Prueba auto 72,integración,2019-06-22,fallo,baja,6
73,5,Prueba auto 73,integración,2019-05-28,éxito,nula,0
74,5,Prueba auto 74,integración,2019-07-01,éxito,nula,0
75,5,Prueba auto 75,sistema,2019-06-14,éxito,nula,0
76,5,Prueba auto 76,integración,2019-06-26,éxito,nula,0
77,5,Prueba auto 77,integración,2019-06-28,éxito,nula,0
78,9,Prueba auto 78,sistema,2023-05-14,éxito,nula,0
79,9,Prueba auto 79,sistema,2023-07-03,éxito,nula,0
80,9,Prueba auto 80,sistema,2023-07-02,éxito,nula,0
81,9,Prueba auto 81,integración,2023-08-14,éxito,nula,0
82,9,Prueba auto 82,sistema,2023-05-31,éxito,nula,0
83,9,Prueba auto 83,sistema,2023-09-08,éxito,nula,0
84,9,Prueba auto 84,integración,2023-09-07,fallo,baja,8
85,9,Prueba auto 85,sistema,2023-09-11,éxito,nula,0
86,9,Prueba auto 86,integración,2023-07-25,éxito,nula,0
87,9,Prueba auto 87,sistema,2023-10-21,éxito,nula,0
88,9,Prueba auto 88,sistema,2023-05-19,éxito,nula,0
89,9,Prueba auto 89,integración,2023-11-11,éxito,nula,0
90,9,Prueba auto 90,sistema,2023-08-23,fallo,media,2
91,9,Prueba auto 91,sistema,2023-11-27,éxito,nula,0
92,9,Prueba auto 92,integración,2023-08-24,éxito,nula,0
93,9,Prueba auto 93,sistema,2023-07-10,fallo,baja,2
94,9,Prueba auto 94,integración,2023-09-09,éxito,nula,0
95,9,Prueba auto 95,sistema,2023-07-24,fallo,baja,1
96,9,Prueba auto 96,integración,2023-11-19,éxito,nula,0
97,9,Prueba auto 97,sistema,2023-08-20,éxito,nula,0
98,9,Prueba auto 98,sistema,2023-05-24,éxito,nula,0
99,9,Prueba auto 99,sistema,2023-07-23,éxito,nula,0
100,9,Prueba auto 100,sistema,2023-08-08,éxito,nula,0
101,9,Prueba auto 101,integración,2023-08-22,éxito,nula,0
102,9,Prueba auto 102,sistema,2023-09-04,éxito,nula,0
103,9,Prueba auto 103,integración,2023-09-30,éxito,nula,0
104,9,Prueba auto 104,integración,2023-12-10,éxito,nula,0
105,9,Prueba auto 105,sistema,2023-08-23,éxito,nula,0
106,9,Prueba auto 106,sistema,2023-04-05,fallo,crítica,2
107,9,Prueba auto 107,sistema,2023-09-17,éxito,nula,0
108,9,Prueba auto 108,sistema,2023-10-13,éxito,nula,0
109,9,Prueba auto 109,integración,2023-04-17,éxito,nula,0
110,9,Prueba auto 110,integración,2023-08-29,fallo,alta,1
111,9,Prueba auto 111,integración,2023-07-28,éxito,nula,0
112,9,Prueba auto 112,integración,2023-09-21,éxito,nula,0
113,9,Prueba auto 113,integración,2023-08-12,éxito,nula,0
114,9,Prueba auto 114,integración,2023-10-18,éxito,nula,0
115,9,Prueba auto 115,integración,2022-12-31,éxito,nula,0
116,9,Prueba auto 116,integración,2023-07-27,fallo,media,5
117,9,Prueba auto 117,integración,2023-07-29,éxito,nula,0
118,9,Prueba auto 118,integración,2023-11-04,fallo,media,6
119,9,Prueba auto 119,sistema,2023-03-03,éxito,nula,0
120,9,Prueba auto 120,integración,2023-06-08,éxito,nula,0
121,11,Prueba auto 121,integración,2023-08-06,éxito,nula,0
122,11,Prueba auto 122,integración,2023-09-17,fallo,baja,6
123,11,Prueba auto 123,sistema,2023-05-09,éxito,nula,0
124,11,Prueba auto 124,integración,2023-09-19,fallo,alta,5
125,11,Prueba auto 125,integración,2023-08-15,fallo,baja,7
126,11,Prueba auto 126,integración,2023-10-23,fallo,crítica,7
127,11,Prueba auto 127,sistema,2023-10-14,éxito,nula,0
128,11,Prueba auto 128,integración,2023-08-21,fallo,media,1
129,11,Prueba auto 129,sistema,2023-09-05,fallo,media,4
130,11,Prueba auto 130,sistema,2023-08-08,éxito,nula,0
131,11,Prueba auto 131,integración,2023-09-12,éxito,nula,0
132,11,Prueba auto 132,integración,2023-08-31,fallo,crítica,5
133,11,Prueba auto 133,sistema,2023-09-06,éxito,nula,0
134,11,Prueba auto 134,integración,2023-08-12,éxito,nula,0
135,11,Prueba auto 135,sistema,2023-05-11,éxito,nula,0
136,11,Prueba auto 136,integración,2023-05-20,fallo,media,2
137,11,Prueba auto 137,integración,2023-11-29,éxito,nula,0
138,11,Prueba auto 138,sistema,2023-08-03,éxito,nula,0
139,11,Prueba auto 139,sistema,2023-10-02,fallo,crítica,2
140,11,Prueba auto 140,integración,2023-09-29,éxito,nula,0
141,11,Prueba auto 141,integración,2023-11-02,éxito,nula,0
142,11,Prueba auto 142,sistema,2023-08-25,éxito,nula,0
143,11,Prueba auto 143,sistema,2023-07-18,éxito,nula,0
144,11,Prueba auto 144,integración,2023-08-11,éxito,nula,0
145,11,Prueba auto 145,integración,2023-09-17,éxito,nula,0
146,11,Prueba auto 146,integración,2023-10-01,éxito,nula,0
147,11,Prueba auto 147,integración,2023-10-17,éxito,nula,0
148,11,Prueba auto 148,integración,2023-05-09,éxito,nula,0
149,11,Prueba auto 149,integración,2023-09-29,éxito,nula,0
150,11,Prueba auto 150,integración,2023-09-26,éxito,nula,0
151,11,Prueba auto 151,sistema,2023-10-14,éxito,nula,0
152,11,Prueba auto 152,integración,2023-03-12,éxito,nula,0
153,11,Prueba auto 153,sistema,2023-12-09,éxito,nula,0
154,11,Prueba auto 154,integración,2023-08-22,éxito,nula,0
155,11,Prueba auto 155,integración,2023-10-21,éxito,nula,0
156,11,Prueba auto 156,sistema,2023-08-21,éxito,nula,0
157,11,Prueba auto 157,integración,2023-09-18,fallo,baja,6
158,11,Prueba auto 158,integración,2023-07-30,éxito,nula,0
159,11,Prueba auto 159,sistema,2023-10-15,éxito,nula,0
160,11,Prueba auto 160,sistema,2023-08-30,éxito,nula,0
161,11,Prueba auto 161,sistema,2023-08-05,éxito,nula,0
162,11,Prueba auto 162,sistema,2023-09-16,fallo,baja,3
163,11,Prueba auto 163,sistema,2023-11-04,éxito,nula,0
164,11,Prueba auto 164,sistema,2023-08-06,éxito,nula,0
165,14,Prueba auto 165,integración,2023-10-31,éxito,nula,0
166,14,Prueba auto 166,integración,2023-11-07,éxito,nula,0
167,14,Prueba auto 167,sistema,2023-07-03,éxito,nula,0
168,14,Prueba auto 168,integración,2023-09-24,éxito,nula,0
169,14,Prueba auto 169,integración,2023-07-28,éxito,nula,0
170,14,Prueba auto 170,integración,2023-07-05,éxito,nula,0
171,14,Prueba auto 171,sistema,2023-01-03,fallo,baja,5
172,14,Prueba auto 172,integración,2023-10-02,éxito,nula,0
173,14,Prueba auto 173,integración,2023-08-26,éxito,nula,0
174,14,Prueba auto 174,integración,2023-06-29,éxito,nula,0
175,14,Prueba auto 175,integración,2023-10-17,éxito,nula,0
176,14,Prueba auto 176,integración,2023-05-22,fallo,alta,2
177,14,Prueba auto 177,integración,2023-06-05,éxito,nula,0
178,14,Prueba auto 178,sistema,2023-09-10,fallo,crítica,1
179,14,Prueba auto 179,sistema,2023-08-04,éxito,nula,0
180,14,Prueba auto 180,sistema,2023-10-30,fallo,baja,8
181,14,Prueba auto 181,integración,2023-11-24,fallo,media,2
182,14,Prueba auto 182,sistema,2023-11-12,éxito,nula,0
183,14,Prueba auto 183,sistema,2023-11-27,fallo,alta,7
184,14,Prueba auto 184,integración,2023-06-04,fallo,media,6
185,14,Prueba auto 185,integración,2023-11-16,éxito,nula,0
186,14,Prueba auto 186,integración,2023-02-21,éxito,nula,0
187,14,Prueba auto 187,sistema,2023-07-20,éxito,nula,0
188,14,Prueba auto 188,integración,2023-04-19,éxito,nula,0
189,14,Prueba auto 189,sistema,2023-11-28,éxito,nula,0
190,14,Prueba auto 190,integración,2023-09-03,fallo,media,2
191,14,Prueba auto 191,integración,2023-07-07,éxito,nula,0
192,14,Prueba auto 192,integración,2023-08-24,éxito,nula,0
193,14,Prueba auto 193,sistema,2023-05-26,fallo,crítica,7
194,14,Prueba auto 194,integración,2023-11-29,éxito,nula,0
195,14,Prueba auto 195,sistema,2023-08-26,éxito,nula,0
196,14,Prueba auto 196,integración,2023-11-02,fallo,baja,1
197,15,Prueba auto 197,integración,2020-01-11,fallo,baja,4
198,15,Prueba auto 198,sistema,2019-11-30,éxito,nula,0
199,15,Prueba auto 199,sistema,2020-01-16,éxito,nula,0
200,15,Prueba auto 200,sistema,2020-01-08,éxito,nula,0
201,15,Prueba auto 201,sistema,2019-11-23,éxito,nula,0
202,15,Prueba auto 202,integración,2019-12-21,éxito,nula,0
203,15,Prueba auto 203,integración,2019-12-31,fallo,media,7
204,15,Prueba auto 204,integración,2019-12-03,éxito,nula,0
205,15,Prueba auto 205,integración,2019-12-11,éxito,nula,0
206,15,Prueba auto 206,sistema,2019-11-02,éxito,nula,0
207,15,Prueba auto 207,integración,2019-12-15,éxito,nula,0
208,15,Prueba auto 208,integración,2020-01-10,éxito,nula,0
209,15,Prueba auto 209,sistema,2019-12-11,éxito,nula,0
210,15,Prueba auto 210,sistema,2020-01-27,fallo,alta,4
211,15,Prueba auto 211,integración,2019-10-01,éxito,nula,0
212,15,Prueba auto 212,sistema,2019-12-07,éxito,nula,0
213,15,Prueba auto 213,integración,2019-12-27,éxito,nula,0
214,15,Prueba auto 214,sistema,2019-11-12,éxito,nula,0
215,15,Prueba auto 215,sistema,2019-12-03,éxito,nula,0
216,15,Prueba auto 216,integración,2019-11-12,éxito,nula,0
217,15,Prueba auto 217,sistema,2019-12-20,éxito,nula,0
218,15,Prueba auto 218,integración,2019-11-15,éxito,nula,0
219,15,Prueba auto 219,sistema,2019-11-03,fallo,alta,6
220,15,Prueba auto 220,integración,2019-08-28,éxito,nula,0
221,15,Prueba auto 221,integración,2019-10-06,éxito,nula,0
222,15,Prueba auto 222,integración,2019-10-30,éxito,nula,0
223,15,Prueba auto 223,sistema,2020-01-06,éxito,nula,0
224,15,Prueba auto 224,sistema,2020-01-04,éxito,nula,0
225,15,Prueba auto 225,sistema,2020-01-05,fallo,alta,1
226,15,Prueba auto 226,sistema,2019-12-29,éxito,nula,0
227,15,Prueba auto 227,integración,2020-01-09,éxito,nula,0
228,15,Prueba auto 228,integración,2019-12-12,éxito,nula,0
229,15,Prueba auto 229,sistema,2020-01-07,éxito,nula,0
230,15,Prueba auto 230,sistema,2020-02-10,éxito,nula,0
231,15,Prueba auto 231,integración,2019-11-30,éxito,nula,0
232,15,Prueba auto 232,integración,2020-01-05,éxito,nula,0
233,15,Prueba auto 233,sistema,2019-11-08,éxito,nula,0
234,15,Prueba auto 234,sistema,2020-01-25,éxito,nula,0
235,15,Prueba auto 235,sistema,2019-12-12,fallo,media,8
236,15,Prueba auto 236,integración,2019-12-26,éxito,nula,0
237,15,Prueba auto 237,integración,2020-01-16,éxito,nula,0
238,15,Prueba auto 238,sistema,2020-01-11,éxito,nula,0
239,15,Prueba auto 239,sistema,2020-01-15,éxito,nula,0
240,15,Prueba auto 240,sistema,2019-11-20,fallo,crítica,7
241,15,Prueba auto 241,integración,2019-12-26,éxito,nula,0
242,15,Prueba auto 242,integración,2020-01-13,éxito,nula,0
243,15,Prueba auto 243,sistema,2019-11-19,éxito,nula,0
244,15,Prueba auto 244,integración,2019-12-25,éxito,nula,0
245,15,Prueba auto 245,integración,2019-12-22,éxito,nula,0
246,15,Prueba auto 246,integración,2019-12-16,éxito,nula,0
247,15,Prueba auto 247,sistema,2020-01-16,éxito,nula,0
248,15,Prueba auto 248,integración,2019-10-04,éxito,nula,0
249,15,Prueba auto 249,sistema,2019-11-01,éxito,nula,0
250,17,Prueba auto 250,integración,2019-11-14,éxito,nula,0
251,17,Prueba auto 251,sistema,2019-10-30,éxito,nula,0
252,17,Prueba auto 252,integración,2020-01-01,éxito,nula,0
253,17,Prueba auto 253,integración,2019-12-21,éxito,nula,0
254,17,Prueba auto 254,integración,2020-01-25,éxito,nula,0
255,17,Prueba auto 255,integración,2019-12-02,fallo,media,8
256,17,Prueba auto 256,sistema,2019-10-09,éxito,nula,0
257,17,Prueba auto 257,integración,2020-01-22,éxito,nula,0
258,17,Prueba auto 258,sistema,2019-12-22,fallo,media,4
259,17,Prueba auto 259,integración,2019-12-19,fallo,media,2
260,17,Prueba auto 260,integración,2020-01-22,fallo,media,7
261,17,Prueba auto 261,sistema,2020-02-01,éxito,nula,0
262,17,Prueba auto 262,sistema,2019-12-29,fallo,baja,6
263,17,Prueba auto 263,integración,2019-12-18,éxito,nula,0
264,17,Prueba auto 264,sistema,2019-12-06,éxito,nula,0
265,17,Prueba auto 265,integración,2019-12-13,éxito,nula,0
266,17,Prueba auto 266,integración,2020-01-20,éxito,nula,0
267,17,Prueba auto 267,integración,2020-01-28,éxito,nula,0
268,17,Prueba auto 268,sistema,2019-12-01,éxito,nula,0
269,17,Prueba auto 269,integración,2020-01-28,éxito,nula,0
270,17,Prueba auto 270,integración,2019-11-28,fallo,crítica,3
271,17,Prueba auto 271,sistema,2020-02-02,éxito,nula,0
272,17,Prueba auto 272,sistema,2019-12-03,éxito,nula,0
273,17,Prueba auto 273,integración,2020-01-22,fallo,baja,6
274,17,Prueba auto 274,integración,2020-01-10,fallo,media,6
275,17,Prueba auto 275,integración,2019-11-12,éxito,nula,0
276,17,Prueba auto 276,integración,2020-01-01,fallo,crítica,8
277,17,Prueba auto 277,sistema,2019-12-20,fallo,alta,7
278,17,Prueba auto 278,integración,2019-12-22,éxito,nula,0
279,17,Prueba auto 279,sistema,2019-11-08,éxito,nula,0
280,17,Prueba auto 280,integración,2019-11-08,éxito,nula,0
281,17,Prueba auto 281,integración,2019-10-05,éxito,nula,0
282,17,Prueba auto 282,integración,2019-10-03,éxito,nula,0
283,17,Prueba auto 283,sistema,2020-01-27,éxito,nula,0
284,17,Prueba auto 284,integración,2019-11-01,éxito,nula,0
285,17,Prueba auto 285,sistema,2020-01-05,éxito,nula,0
286,17,Prueba auto 286,sistema,2020-01-27,éxito,nula,0
287,17,Prueba auto 287,sistema,2019-12-28,fallo,alta,4
288,17,Prueba auto 288,sistema,2020-01-05,éxito,nula,0
289,17,Prueba auto 289,integración,2020-01-02,fallo,media,8
290,17,Prueba auto 290,integración,2020-01-22,éxito,nula,0
291,17,Prueba auto 291,sistema,2019-11-30,éxito,nula,0
292,17,Prueba auto 292,integración,2019-12-14,éxito,nula,0
293,17,Prueba auto 293,integración,2019-12-14,éxito,nula,0
294,17,Prueba auto 294,sistema,2019-12-23,fallo,media,4
295,17,Prueba auto 295,integración,2019-11-20,éxito,nula,0
296,17,Prueba auto 296,sistema,2020-01-01,éxito,nula,0
297,17,Prueba auto 297,integración,2020-01-11,éxito,nula,0
298,17,Prueba auto 298,integración,2020-01-24,éxito,nula,0
299,17,Prueba auto 299,sistema,2020-01-18,éxito,nula,0
300,17,Prueba auto 300,sistema,2020-01-16,éxito,nula,0
301,17,Prueba auto 301,integración,2019-11-23,éxito,nula,0
302,17,Prueba auto 302,integración,2019-11-20,éxito,nula,0
303,17,Prueba auto 303,sistema,2020-01-18,éxito,nula,0
304,19,Prueba auto 304,integración,2019-12-29,éxito,nula,0
305,19,Prueba auto 305,sistema,2020-01-03,éxito,nula,0
306,19,Prueba auto 306,sistema,2020-01-30,éxito,nula,0
307,19,Prueba auto 307,sistema,2020-01-28,éxito,nula,0
308,19,Prueba auto 308,integración,2019-11-28,éxito,nula,0
309,19,Prueba auto 309,sistema,2019-12-02,fallo,alta,2
310,19,Prueba auto 310,sistema,2019-12-16,éxito,nula,0
311,19,Prueba auto 311,integración,2019-11-25,éxito,nula,0
312,19,Prueba auto 312,sistema,2019-11-30,éxito,nula,0
313,19,Prueba auto 313,integración,2020-01-28,éxito,nula,0
314,19,Prueba auto 314,integración,2019-11-25,éxito,nula,0
315,19,Prueba auto 315,sistema,2020-01-25,éxito,nula,0
316,19,Prueba auto 316,integración,2019-11-15,éxito,nula,0
317,19,Prueba auto 317,sistema,2019-10-02,éxito,nula,0
318,19,Prueba auto 318,integración,2019-12-03,éxito,nula,0
319,19,Prueba auto 319,sistema,2019-12-28,éxito,nula,0
320,19,Prueba auto 320,sistema,2020-01-15,éxito,nula,0
321,19,Prueba auto 321,integración,2019-10-12,fallo,crítica,4
322,19,Prueba auto 322,sistema,2019-12-06,éxito,nula,0
323,19,Prueba auto 323,sistema,2020-01-27,éxito,nula,0
324,19,Prueba auto 324,integración,2020-01-22,éxito,nula,0
325,19,Prueba auto 325,sistema,2019-12-15,éxito,nula,0
326,19,Prueba auto 326,sistema,2019-11-26,éxito,nula,0
327,19,Prueba auto 327,sistema,2020-01-13,fallo,alta,3
328,19,Prueba auto 328,sistema,2019-12-29,éxito,nula,0
329,19,Prueba auto 329,sistema,2020-01-23,éxito,nula,0
330,19,Prueba auto 330,sistema,2019-12-30,éxito,nula,0
331,19,Prueba auto 331,sistema,2019-12-08,fallo,media,2
332,19,Prueba auto 332,integración,2019-10-15,éxito,nula,0
333,19,Prueba auto 333,sistema,2020-01-20,éxito,nula,0
334,19,Prueba auto 334,sistema,2019-12-10,éxito,nula,0
335,19,Prueba auto 335,sistema,2020-01-05,éxito,nula,0
336,19,Prueba auto 336,integración,2019-11-29,éxito,nula,0
337,19,Prueba auto 337,sistema,2020-01-06,éxito,nula,0
338,19,Prueba auto 338,integración,2019-12-31,éxito,nula,0
339,19,Prueba auto 339,integración,2019-12-13,éxito,nula,0
340,19,Prueba auto 340,integración,2019-12-04,éxito,nula,0
341,19,Prueba auto 341,integración,2020-01-26,éxito,nula,0
342,19,Prueba auto 342,sistema,2019-12-30,éxito,nula,0
343,19,Prueba auto 343,integración,2019-11-13,éxito,nula,0
344,23,Prueba auto 344,integración,2019-10-25,éxito,nula,0
345,23,Prueba auto 345,integración,2019-12-12,éxito,nula,0
346,23,Prueba auto 346,sistema,2020-02-09,éxito,nula,0
347,23,Prueba auto 347,sistema,2019-11-30,éxito,nula,0
348,23,Prueba auto 348,sistema,2020-01-15,éxito,nula,0
349,23,Prueba auto 349,integración,2019-12-19,éxito,nula,0
350,23,Prueba auto 350,sistema,2019-10-23,fallo,media,1
351,23,Prueba auto 351,sistema,2020-02-04,éxito,nula,0
352,23,Prueba auto 352,sistema,2019-12-30,fallo,alta,3
353,23,Prueba auto 353,integración,2019-11-21,éxito,nula,0
354,23,Prueba auto 354,integración,2020-01-18,éxito,nula,0
355,23,Prueba auto 355,sistema,2019-12-24,éxito,nula,0
356,23,Prueba auto 356,sistema,2020-01-27,éxito,nula,0
357,23,Prueba auto 357,integración,2019-11-12,éxito,nula,0
358,23,Prueba auto 358,sistema,2020-01-23,éxito,nula,0
359,23,Prueba auto 359,integración,2019-12-21,fallo,alta,4
360,23,Prueba auto 360,sistema,2020-02-09,éxito,nula,0
361,23,Prueba auto 361,sistema,2020-01-30,éxito,nula,0
362,23,Prueba auto 362,integración,2019-11-18,fallo,media,2
363,23,Prueba auto 363,sistema,2019-11-26,éxito,nula,0
364,23,Prueba auto 364,sistema,2019-12-03,éxito,nula,0
365,23,Prueba auto 365,sistema,2019-12-25,éxito,nula,0
366,23,Prueba auto 366,integración,2019-11-15,éxito,nula,0
367,23,Prueba auto 367,integración,2019-12-17,éxito,nula,0
368,23,Prueba auto 368,integración,2020-01-08,éxito,nula,0
369,23,Prueba auto 369,integración,2020-01-25,fallo,crítica,6
370,23,Prueba auto 370,integración,2019-12-11,éxito,nula,0
371,23,Prueba auto 371,sistema,2020-02-03,éxito,nula,0
372,23,Prueba auto 372,sistema,2019-10-16,fallo,alta,7
373,23,Prueba auto 373,sistema,2019-11-19,éxito,nula,0
374,23,Prueba auto 374,sistema,2020-01-08,fallo,baja,2
375,23,Prueba auto 375,integración,2019-12-13,éxito,nula,0
376,23,Prueba auto 376,sistema,2019-12-05,éxito,nula,0
377,23,Prueba auto 377,integración,2019-12-13,fallo,baja,1
378,23,Prueba auto 378,sistema,2019-11-25,fallo,baja,1
379,23,Prueba auto 379,integración,2020-01-23,éxito,nula,0
380,23,Prueba auto 380,sistema,2020-01-06,éxito,nula,0
381,23,Prueba auto 381,sistema,2020-01-08,éxito,nula,0
382,23,Prueba auto 382,integración,2020-01-25,éxito,nula,0
383,23,Prueba auto 383,integración,2020-02-07,éxito,nula,0
384,23,Prueba auto 384,integración,2019-11-22,éxito,nula,0
385,23,Prueba auto 385,integración,2020-01-01,fallo,media,4
386,23,Prueba auto 386,sistema,2019-11-09,fallo,media,3
387,23,Prueba auto 387,sistema,2019-12-11,fallo,crítica,5
388,23,Prueba auto 388,sistema,2019-12-17,fallo,baja,5
389,23,Prueba auto 389,sistema,2019-12-16,fallo,alta,6
390,23,Prueba auto 390,integración,2020-01-09,éxito,nula,0
391,23,Prueba auto 391,sistema,2019-11-12,éxito,nula,0
392,25,Prueba auto 392,integración,2016-10-14,éxito,nula,0
393,25,Prueba auto 393,integración,2016-12-26,éxito,nula,0
394,25,Prueba auto 394,sistema,2017-01-16,éxito,nula,0
395,25,Prueba auto 395,sistema,2016-10-07,éxito,nula,0
396,25,Prueba auto 396,sistema,2016-12-12,éxito,nula,0
397,25,Prueba auto 397,sistema,2016-08-30,éxito,nula,0
398,25,Prueba auto 398,integración,2016-12-29,éxito,nula,0
399,25,Prueba auto 399,integración,2016-12-28,éxito,nula,0
400,25,Prueba auto 400,integración,2016-07-19,éxito,nula,0
401,25,Prueba auto 401,integración,2016-12-06,éxito,nula,0
402,25,Prueba auto 402,integración,2016-11-12,éxito,nula,0
403,25,Prueba auto 403,integración,2016-12-26,éxito,nula,0
404,25,Prueba auto 404,sistema,2016-12-20,éxito,nula,0
405,25,Prueba auto 405,integración,2017-01-25,éxito,nula,0
406,25,Prueba auto 406,integración,2016-08-04,éxito,nula,0
407,25,Prueba auto 407,integración,2016-09-19,éxito,nula,0
408,25,Prueba auto 408,integración,2016-09-28,éxito,nula,0
409,25,Prueba auto 409,integración,2016-09-16,fallo,alta,1
410,25,Prueba auto 410,sistema,2016-09-18,fallo,media,4
411,25,Prueba auto 411,sistema,2016-12-17,éxito,nula,0
412,25,Prueba auto 412,sistema,2016-12-06,éxito,nula,0
413,25,Prueba auto 413,integración,2017-01-05,éxito,nula,0
414,25,Prueba auto 414,integración,2016-07-25,éxito,nula,0
415,25,Prueba auto 415,integración,2016-11-09,fallo,crítica,2
416,25,Prueba auto 416,integración,2016-10-19,éxito,nula,0
417,25,Prueba auto 417,integración,2016-12-11,éxito,nula,0
418,25,Prueba auto 418,sistema,2016-09-24,éxito,nula,0
419,25,Prueba auto 419,sistema,2016-11-05,fallo,alta,2
420,25,Prueba auto 420,sistema,2016-11-28,fallo,crítica,3
421,25,Prueba auto 421,integración,2016-11-14,fallo,alta,1
422,25,Prueba auto 422,sistema,2016-09-02,éxito,nula,0
423,25,Prueba auto 423,integración,2016-09-11,éxito,nula,0
424,25,Prueba auto 424,integración,2016-12-20,fallo,crítica,6
425,25,Prueba auto 425,integración,2016-12-23,éxito,nula,0
426,25,Prueba auto 426,integración,2016-11-12,éxito,nula,0
427,25,Prueba auto 427,sistema,2016-12-09,fallo,crítica,4
