id_hecho_calidad,nombre_proyecto,id_tiempo,tipo_prueba,severidad,cantidad_defectos_encontrados
97,Proy-2022-crece,20230806,integración,nula,0
98,Proy-2022-crece,20230806,sistema,nula,0
99,Proy-2022-crece,20230808,sistema,nula,0
100,Proy-2022-crece,20230811,integración,nula,0
101,Proy-2022-crece,20230812,integración,nula,0
102,Proy-2022-crece,20230814,integración,nula,0
103,Proy-2022-crece,20230815,integración,baja,1
104,Proy-2022-crece,20230820,sistema,nula,0
105,Proy-2022-crece,20230821,integración,media,1
106,Proy-2022-crece,20230821,sistema,nula,0
107,Proy-2022-crece,20230822,integración,nula,0
108,Proy-2022-crece,20230823,sistema,media,1
109,Proy-2022-crece,20230823,sistema,nula,0
110,Proy-2022-crece,20230824,integración,nula,0
111,Proy-2022-crece,20230825,sistema,nula,0
112,Proy-2022-crece,20230826,integración,nula,0
113,Proy-2022-crece,20230826,sistema,nula,0
114,Proy-2022-crece,20230829,integración,alta,1
115,Proy-2022-crece,20230830,sistema,nula,0
116,Proy-2022-crece,20230831,integración,crítica,1
117,Proy-2022-crece,20230903,integración,media,1
118,Proy-2022-crece,20230904,sistema,nula,0
119,Proy-2022-crece,20230905,sistema,media,1
120,Proy-2022-crece,20230906,sistema,nula,0
121,Proy-2022-crece,20230907,integración,baja,1
122,Proy-2022-crece,20230908,sistema,nula,0
123,Proy-2022-crece,20230909,integración,nula,0
124,Proy-2022-crece,20230910,sistema,crítica,1
125,Proy-2022-crece,20230911,sistema,nula,0
126,Proy-2022-crece,20230912,integración,nula,0
127,Proy-2022-crece,20230916,sistema,baja,1
128,Proy-2022-crece,20230917,integración,baja,1
129,Proy-2022-crece,20230917,integración,nula,0
130,Proy-2022-crece,20230917,sistema,nula,0
131,Proy-2022-crece,20230918,integración,baja,1
132,Proy-2022-crece,20230919,integración,alta,1
133,Proy-2022-crece,20230921,integración,nula,0
134,Proy-2022-crece,20230924,integración,nula,0
135,Proy-2022-crece,20230926,integración,nula,0
136,Proy-2022-crece,20230929,integración,nula,0
137,Proy-2022-crece,20230930,integración,nula,0
138,Proy-2022-crece,20231001,integración,nula,0
139,Proy-2022-crece,20231002,integración,nula,0
140,Proy-2022-crece,20231002,sistema,crítica,1
141,Proy-2022-crece,20231013,sistema,nula,0
142,Proy-2022-crece,20231014,sistema,nula,0
143,Proy-2022-crece,20231015,sistema,nula,0
144,Proy-2022-crece,20231017,integración,nula,0
145,Proy-2022-crece,20231018,integración,nula,0
146,Proy-2022-crece,20231021,integración,nula,0
147,Proy-2022-crece,20231021,sistema,nula,0
148,Proy-2022-crece,20231023,integración,crítica,1
149,Proy-2022-crece,20231030,sistema,baja,1
150,Proy-2022-crece,20231031,integración,nula,0
151,Proy-2022-crece,20231102,integración,baja,1
152,Proy-2022-crece,20231102,integración,nula,0
153,Proy-2022-crece,20231104,integración,media,1
154,Proy-2022-crece,20231104,sistema,nula,0
155,Proy-2022-crece,20231107,integración,nula,0
156,Proy-2022-crece,20231111,integración,nula,0
157,Proy-2022-crece,20231112,sistema,nula,0
158,Proy-2022-crece,20231116,integración,nula,0
159,Proy-2022-crece,20231119,integración,nula,0
160,Proy-2022-crece,20231124,integración,media,1
161,Proy-2022-crece,20231127,sistema,alta,1
162,Proy-2022-crece,20231127,sistema,nula,0
163,Proy-2022-crece,20231128,sistema,nula,0
164,Proy-2022-crece,20231129,integración,nula,0
165,Proy-2022-crece,20231209,sistema,nula,0
166,Proy-2022-crece,20231210,integración,nula,0
167,Proy-2019-sinergiza,20190828,integración,nula,0
168,Proy-2019-sinergiza,20191001,integración,nula,0
169,Proy-2019-sinergiza,20191002,sistema,nula,0
170,Proy-2019-sinergiza,20191003,integración,nula,0
171,Proy-2019-sinergiza,20191004,integración,nula,0
172,Proy-2019-sinergiza,20191005,integración,nula,0
173,Proy-2019-sinergiza,20191006,integración,nula,0
174,Proy-2019-sinergiza,20191009,sistema,nula,0
175,Proy-2019-sinergiza,20191012,integración,crítica,1
176,Proy-2019-sinergiza,20191015,integración,nula,0
177,Proy-2019-sinergiza,20191016,sistema,alta,1
178,Proy-2019-sinergiza,20191023,sistema,media,1
179,Proy-2019-sinergiza,20191025,integración,nula,0
180,Proy-2019-sinergiza,20191030,integración,nula,0
181,Proy-2019-sinergiza,20191030,sistema,nula,0
182,Proy-2019-sinergiza,20191101,integración,nula,0
183,Proy-2019-sinergiza,20191101,sistema,nula,0
184,Proy-2019-sinergiza,20191102,sistema,nula,0
185,Proy-2019-sinergiza,20191103,sistema,alta,1
186,Proy-2019-sinergiza,20191108,integración,nula,0
187,Proy-2019-sinergiza,20191108,sistema,nula,0
188,Proy-2019-sinergiza,20191109,sistema,media,1
189,Proy-2019-sinergiza,20191112,integración,nula,0
190,Proy-2019-sinergiza,20191112,sistema,nula,0
191,Proy-2019-sinergiza,20191113,integración,nula,0
192,Proy-2019-sinergiza,20191114,integración,nula,0
193,Proy-2019-sinergiza,20191115,integración,nula,0
194,Proy-2019-sinergiza,20191118,integración,media,1
195,Proy-2019-sinergiza,20191119,sistema,nula,0
196,Proy-2019-sinergiza,20191120,integración,nula,0
197,Proy-2019-sinergiza,20191120,sistema,crítica,1
198,Proy-2019-sinergiza,20191121,integración,nula,0
199,Proy-2019-sinergiza,20191122,integración,nula,0
200,Proy-2019-sinergiza,20191123,integración,nula,0
201,Proy-2019-sinergiza,20191123,sistema,nula,0
202,Proy-2019-sinergiza,20191125,integración,nula,0
203,Proy-2019-sinergiza,20191125,sistema,baja,1
204,Proy-2019-sinergiza,20191126,sistema,nula,0
205,Proy-2019-sinergiza,20191128,integración,crítica,1
206,Proy-2019-sinergiza,20191128,integración,nula,0
207,Proy-2019-sinergiza,20191129,integración,nula,0
208,Proy-2019-sinergiza,20191130,integración,nula,0
209,Proy-2019-sinergiza,20191130,sistema,nula,0
210,Proy-2019-sinergiza,20191201,sistema,nula,0
211,Proy-2019-sinergiza,20191202,integración,media,1
212,Proy-2019-sinergiza,20191202,sistema,alta,1
213,Proy-2019-sinergiza,20191203,integración,nula,0
214,Proy-2019-sinergiza,20191203,sistema,nula,0
215,Proy-2019-sinergiza,20191204,integración,nula,0
216,Proy-2019-sinergiza,20191205,sistema,nula,0
217,Proy-2019-sinergiza,20191206,sistema,nula,0
218,Proy-2019-sinergiza,20191207,sistema,nula,0
219,Proy-2019-sinergiza,20191208,sistema,media,1
220,Proy-2019-sinergiza,20191210,sistema,nula,0
221,Proy-2019-sinergiza,20191211,integración,nula,0
222,Proy-2019-sinergiza,20191211,sistema,crítica,1
223,Proy-2019-sinergiza,20191211,sistema,nula,0
224,Proy-2019-sinergiza,20191212,integración,nula,0
225,Proy-2019-sinergiza,20191212,sistema,media,1
226,Proy-2019-sinergiza,20191213,integración,baja,1
227,Proy-2019-sinergiza,20191213,integración,nula,0
228,Proy-2019-sinergiza,20191214,integración,nula,0
229,Proy-2019-sinergiza,20191215,integración,nula,0
230,Proy-2019-sinergiza,20191215,sistema,nula,0
231,Proy-2019-sinergiza,20191216,integración,nula,0
232,Proy-2019-sinergiza,20191216,sistema,alta,1
233,Proy-2019-sinergiza,20191216,sistema,nula,0
234,Proy-2019-sinergiza,20191217,integración,nula,0
235,Proy-2019-sinergiza,20191217,sistema,baja,1
236,Proy-2019-sinergiza,20191218,integración,nula,0
237,Proy-2019-sinergiza,20191219,integración,media,1
238,Proy-2019-sinergiza,20191219,integración,nula,0
239,Proy-2019-sinergiza,20191220,sistema,alta,1
240,Proy-2019-sinergiza,20191220,sistema,nula,0
241,Proy-2019-sinergiza,20191221,integración,alta,1
242,Proy-2019-sinergiza,20191221,integración,nula,0
243,Proy-2019-sinergiza,20191222,integración,nula,0
244,Proy-2019-sinergiza,20191222,sistema,media,1
245,Proy-2019-sinergiza,20191223,sistema,media,1
246,Proy-2019-sinergiza,20191224,sistema,nula,0
247,Proy-2019-sinergiza,20191225,integración,nula,0
248,Proy-2019-sinergiza,20191225,sistema,nula,0
249,Proy-2019-sinergiza,20191226,integración,nula,0
250,Proy-2019-sinergiza,20191227,integración,nula,0
251,Proy-2019-sinergiza,20191228,sistema,alta,1
252,Proy-2019-sinergiza,20191228,sistema,nula,0
253,Proy-2019-sinergiza,20191229,integración,nula,0
254,Proy-2019-sinergiza,20191229,sistema,baja,1
255,Proy-2019-sinergiza,20191229,sistema,nula,0
256,Proy-2019-sinergiza,20191230,sistema,alta,1
257,Proy-2019-sinergiza,20191230,sistema,nula,0
258,Proy-2019-sinergiza,20191231,integración,media,1
259,Proy-2019-sinergiza,20191231,integración,nula,0
260,Proy-2019-sinergiza,20200101,integración,crítica,1
261,Proy-2019-sinergiza,20200101,integración,media,1
262,Proy-2019-sinergiza,20200101,integración,nula,0
263,Proy-2019-sinergiza,20200101,sistema,nula,0
264,Proy-2019-sinergiza,20200102,integración,media,1
265,Proy-2019-sinergiza,20200103,sistema,nula,0
266,Proy-2019-sinergiza,20200104,sistema,nula,0
267,Proy-2019-sinergiza,20200105,integración,nula,0
268,Proy-2019-sinergiza,20200105,sistema,alta,1
269,Proy-2019-sinergiza,20200105,sistema,nula,0
270,Proy-2019-sinergiza,20200106,sistema,nula,0
271,Proy-2019-sinergiza,20200107,sistema,nula,0
272,Proy-2019-sinergiza,20200108,integración,nula,0
273,Proy-2019-sinergiza,20200108,sistema,baja,1
274,Proy-2019-sinergiza,20200108,sistema,nula,0
275,Proy-2019-sinergiza,20200109,integración,nula,0
276,Proy-2019-sinergiza,20200110,integración,media,1
277,Proy-2019-sinergiza,20200110,integración,nula,0
278,Proy-2019-sinergiza,20200111,integración,baja,1
279,Proy-2019-sinergiza,20200111,integración,nula,0
280,Proy-2019-sinergiza,20200111,sistema,nula,0
281,Proy-2019-sinergiza,20200113,integración,nula,0
282,Proy-2019-sinergiza,20200113,sistema,alta,1
283,Proy-2019-sinergiza,20200115,sistema,nula,0
284,Proy-2019-sinergiza,20200116,integración,nula,0
285,Proy-2019-sinergiza,20200116,sistema,nula,0
286,Proy-2019-sinergiza,20200118,integración,nula,0
287,Proy-2019-sinergiza,20200118,sistema,nula,0
288,Proy-2019-sinergiza,20200120,integración,nula,0
289,Proy-2019-sinergiza,20200120,sistema,nula,0
290,Proy-2019-sinergiza,20200122,integración,baja,1
291,Proy-2019-sinergiza,20200122,integración,media,1
292,Proy-2019-sinergiza,20200122,integración,nula,0
293,Proy-2019-sinergiza,20200123,integración,nula,0
294,Proy-2019-sinergiza,20200123,sistema,nula,0
295,Proy-2019-sinergiza,20200124,integración,nula,0
296,Proy-2019-sinergiza,20200125,integración,crítica,1
297,Proy-2019-sinergiza,20200125,integración,nula,0
298,Proy-2019-sinergiza,20200125,sistema,nula,0
299,Proy-2019-sinergiza,20200126,integración,nula,0
300,Proy-2019-sinergiza,20200127,sistema,alta,1
301,Proy-2019-sinergiza,20200127,sistema,nula,0
302,Proy-2019-sinergiza,20200128,integración,nula,0
303,Proy-2019-sinergiza,20200128,sistema,nula,0
304,Proy-2019-sinergiza,20200130,sistema,nula,0
305,Proy-2019-sinergiza,20200201,sistema,nula,0
306,Proy-2019-sinergiza,20200202,sistema,nula,0
307,Proy-2019-sinergiza,20200203,sistema,nula,0
308,Proy-2019-sinergiza,20200204,sistema,nula,0
309,Proy-2019-sinergiza,20200207,integración,nula,0
310,Proy-2019-sinergiza,20200209,sistema,nula,0
311,Proy-2019-sinergiza,20200210,sistema,nula,0
312,Proy-2016-redefine,20160602,integración,alta,1
313,Proy-2016-redefine,20160605,integración,media,1
314,Proy-2016-redefine,20160719,integración,nula,0
315,Proy-2016-redefine,20160725,integración,nula,0
316,Proy-2016-redefine,20160804,integración,nula,0
317,Proy-2016-redefine,20160830,integración,nula,0
318,Proy-2016-redefine,20160830,sistema,nula,0
319,Proy-2016-redefine,20160902,sistema,nula,0
320,Proy-2016-redefine,20160911,integración,nula,0
321,Proy-2016-redefine,20160916,integración,alta,1
322,Proy-2016-redefine,20160918,sistema,media,1
323,Proy-2016-redefine,20160919,integración,nula,0
324,Proy-2016-redefine,20160924,sistema,nula,0
325,Proy-2016-redefine,20160927,integración,nula,0
326,Proy-2016-redefine,20160928,integración,nula,0
327,Proy-2016-redefine,20161007,integración,nula,0
328,Proy-2016-redefine,20161007,sistema,nula,0
329,Proy-2016-redefine,20161014,integración,nula,0
330,Proy-2016-redefine,20161019,integración,nula,0
331,Proy-2016-redefine,20161022,sistema,media,1
332,Proy-2016-redefine,20161102,sistema,alta,1
333,Proy-2016-redefine,20161105,sistema,alta,1
334,Proy-2016-redefine,20161109,integración,crítica,1
335,Proy-2016-redefine,20161110,integración,nula,0
336,Proy-2016-redefine,20161112,integración,nula,0
337,Proy-2016-redefine,20161114,integración,alta,1
338,Proy-2016-redefine,20161120,integración,nula,0
339,Proy-2016-redefine,20161126,integración,nula,0
340,Proy-2016-redefine,20161128,sistema,crítica,1
341,Proy-2016-redefine,20161206,integración,nula,0
342,Proy-2016-redefine,20161206,sistema,nula,0
343,Proy-2016-redefine,20161209,sistema,crítica,1
344,Proy-2016-redefine,20161211,integración,nula,0
345,Proy-2016-redefine,20161212,sistema,nula,0
346,Proy-2016-redefine,20161215,sistema,nula,0
347,Proy-2016-redefine,20161217,sistema,nula,0
348,Proy-2016-redefine,20161220,integración,crítica,1
349,Proy-2016-redefine,20161220,sistema,nula,0
350,Proy-2016-redefine,20161223,integración,nula,0
351,Proy-2016-redefine,20161226,integración,nula,0
352,Proy-2016-redefine,20161228,integración,nula,0
353,Proy-2016-redefine,20161229,integración,nula,0
354,Proy-2016-redefine,20170101,sistema,alta,1
355,Proy-2016-redefine,20170105,integración,nula,0
356,Proy-2016-redefine,20170106,sistema,nula,0
357,Proy-2016-redefine,20170114,sistema,nula,0
358,Proy-2016-redefine,20170116,sistema,nula,0
359,Proy-2016-redefine,20170125,integración,nula,0
360,Proy-2016-redefine,20170130,sistema,nula,0
361,Proy-2022-empodera,20220915,sistema,nula,0
362,Proy-2022-empodera,20220916,integración,nula,0
363,Proy-2022-empodera,20220920,integración,nula,0
364,Proy-2022-empodera,20220920,sistema,nula,0
365,Proy-2022-empodera,20220923,sistema,nula,0
366,Proy-2022-empodera,20220926,integración,nula,0
367,Proy-2022-empodera,20220927,sistema,nula,0
368,Proy-2022-empodera,20220929,integración,alta,1
369,Proy-2022-empodera,20220929,integración,nula,0
370,Proy-2022-empodera,20220930,sistema,nula,0
371,Proy-2022-empodera,20221001,integración,nula,0
372,Proy-2022-empodera,20221002,integración,nula,0
373,Proy-2022-empodera,20221002,sistema,nula,0
374,Proy-2022-empodera,20221007,integración,nula,0
375,Proy-2022-empodera,20221007,sistema,media,1
376,Proy-2022-empodera,20221008,integración,nula,0
377,Proy-2022-empodera,20221008,sistema,nula,0
378,Proy-2022-empodera,20221009,integración,nula,0
379,Proy-2022-empodera,20221009,sistema,media,1
380,Proy-2022-empodera,20221009,sistema,nula,0
381,Proy-2022-empodera,20221010,integración,nula,0
382,Proy-2022-empodera,20221011,sistema,nula,0
383,Proy-2022-empodera,20221012,integración,nula,0
384,Proy-2022-empodera,20221013,integración,nula,0
385,Proy-2022-empodera,20221013,sistema,nula,0
386,Proy-2022-empodera,20221014,sistema,alta,1
387,Proy-2022-empodera,20221015,sistema,nula,0
388,Proy-2022-empodera,20221016,integración,nula,0
389,Proy-2022-empodera,20221017,integración,crítica,1
390,Proy-2022-empodera,20221017,integración,nula,0
391,Proy-2022-empodera,20221017,sistema,nula,0
392,Proy-2022-empodera,20221019,integración,nula,0
393,Proy-2022-empodera,20221019,sistema,nula,0
394,Proy-2022-empodera,20221020,integración,nula,0
395,Proy-2022-empodera,20221020,sistema,nula,0
396,Proy-2022-empodera,20221021,integración,nula,0
397,Proy-2022-empodera,20221022,integración,nula,0
398,Proy-2022-empodera,20221023,integración,nula,0
399,Proy-2022-empodera,20221023,sistema,nula,0
400,Proy-2022-empodera,20221025,integración,baja,1
401,Proy-2022-empodera,20221025,integración,nula,0
402,Proy-2022-empodera,20221025,sistema,nula,0
403,Proy-2022-empodera,20221026,integración,nula,0
404,Proy-2022-empodera,20221026,sistema,nula,0
405,Proy-2022-empodera,20221027,integración,nula,0
406,Proy-2022-empodera,20221027,sistema,nula,0
407,Proy-2022-empodera,20221028,integración,nula,0
408,Proy-2022-empodera,20221029,integración,crítica,1
409,Proy-2022-empodera,20221029,sistema,nula,0
410,Proy-2022-empodera,20221102,sistema,nula,0
411,Proy-2016-innova,20161201,integración,baja,1
412,Proy-2016-innova,20161201,integración,nula,0
413,Proy-2016-innova,20161202,integración,nula,0
414,Proy-2016-innova,20161203,sistema,nula,0
415,Proy-2016-innova,20161206,integración,nula,0
416,Proy-2016-innova,20161206,sistema,nula,0
417,Proy-2016-innova,20161207,integración,nula,0
418,Proy-2016-innova,20161207,sistema,nula,0
419,Proy-2016-innova,20161208,integración,nula,0
420,Proy-2016-innova,20161208,sistema,nula,0
421,Proy-2016-innova,20161209,integración,nula,0
422,Proy-2016-innova,20161210,sistema,nula,0
423,Proy-2016-innova,20161211,integración,nula,0
424,Proy-2016-innova,20161213,integración,crítica,1
425,Proy-2016-innova,20161213,integración,media,1
426,Proy-2016-innova,20161213,sistema,nula,0
427,Proy-2016-innova,20161214,integración,nula,0
428,Proy-2016-innova,20161214,sistema,nula,0
429,Proy-2016-innova,20161215,integración,alta,1
430,Proy-2016-innova,20161215,integración,crítica,1
431,Proy-2016-innova,20161215,sistema,nula,0
432,Proy-2016-innova,20161216,integración,nula,0
433,Proy-2016-innova,20161217,integración,nula,0
434,Proy-2016-innova,20161217,sistema,nula,0
435,Proy-2016-innova,20161218,integración,alta,1
436,Proy-2016-innova,20161218,integración,nula,0
437,Proy-2016-innova,20161218,sistema,nula,0
438,Proy-2016-innova,20161219,integración,nula,0
439,Proy-2016-innova,20161219,sistema,nula,0
440,Proy-2016-innova,20161220,integración,nula,0
441,Proy-2016-innova,20161220,sistema,nula,0
442,Proy-2016-innova,20161221,integración,nula,0
443,Proy-2016-innova,20161221,sistema,nula,0
444,Proy-2016-innova,20161222,integración,media,1
445,Proy-2016-innova,20161222,integración,nula,0
446,Proy-2016-innova,20161222,sistema,media,1
447,Proy-2016-innova,20161223,integración,nula,0
448,Proy-2016-innova,20161223,sistema,nula,0
449,Proy-2016-innova,20161224,integración,nula,0
450,Proy-2016-innova,20161224,sistema,nula,0
451,Proy-2016-innova,20161225,integración,nula,0
452,Proy-2016-innova,20161225,sistema,nula,0
453,Proy-2016-innova,20161226,integración,baja,1
454,Proy-2016-innova,20161226,integración,nula,0
455,Proy-2016-innova,20161226,sistema,nula,0
456,Proy-2016-innova,20161227,sistema,media,1
457,Proy-2016-innova,20161227,sistema,nula,0
458,Proy-2016-innova,20161229,integración,nula,0
459,Proy-2016-innova,20161229,sistema,nula,0
460,Proy-2016-innova,20161230,integración,nula,0
461,Proy-2016-innova,20161230,sistema,nula,0
462,Proy-2016-innova,20161231,integración,nula,0
463,Proy-2016-innova,20161231,sistema,nula,0
464,Proy-2016-innova,20170101,integración,alta,1
465,Proy-2016-innova,20170101,sistema,media,1
466,Proy-2016-innova,20170101,sistema,nula,0
467,Proy-2016-innova,20170102,integración,alta,1
468,Proy-2016-innova,20170102,integración,nula,0
469,Proy-2016-innova,20170102,sistema,media,1
470,Proy-2016-innova,20170102,sistema,nula,0
471,Proy-2016-innova,20170103,integración,alta,1
472,Proy-2016-innova,20170103,integración,nula,0
473,Proy-2016-innova,20170103,sistema,nula,0
474,Proy-2016-innova,20170104,integración,nula,0
475,Proy-2016-innova,20170104,sistema,alta,1
476,Proy-2016-innova,20170104,sistema,media,1
477,Proy-2016-innova,20170104,sistema,nula,0
478,Proy-2016-innova,20170105,integración,nula,0
479,Proy-2016-innova,20170105,sistema,crítica,1
480,Proy-2016-innova,20170105,sistema,nula,0
481,Proy-2016-innova,20170106,integración,alta,1
482,Proy-2016-innova,20170106,integración,nula,0
483,Proy-2016-innova,20170106,sistema,nula,0
484,Proy-2016-innova,20170107,integración,nula,0
485,Proy-2016-innova,20170108,sistema,nula,0
486,Proy-2016-innova,20170109,integración,nula,0
487,Proy-2016-innova,20170109,sistema,nula,0
488,Proy-2016-innova,20170110,integración,alta,1
489,Proy-2016-innova,20170112,integración,nula,0
490,Proy-2023-habilita,20231011,integración,alta,1
491,Proy-2023-habilita,20231013,integración,crítica,1
492,Proy-2023-habilita,20231013,sistema,nula,0
493,Proy-2023-habilita,20231017,integración,nula,0
494,Proy-2023-habilita,20231027,sistema,baja,1
495,Proy-2023-habilita,20231031,integración,nula,0
496,Proy-2023-habilita,20231108,integración,nula,0
497,Proy-2023-habilita,20231110,sistema,baja,1
498,Proy-2023-habilita,20231112,integración,nula,0
499,Proy-2023-habilita,20231116,integración,nula,0
500,Proy-2023-habilita,20231117,sistema,nula,0
501,Proy-2023-habilita,20231119,integración,nula,0
502,Proy-2023-habilita,20231120,integración,nula,0
503,Proy-2023-habilita,20231124,sistema,nula,0
504,Proy-2023-habilita,20231126,sistema,nula,0
505,Proy-2023-habilita,20231128,integración,nula,0
506,Proy-2023-habilita,20231130,integración,nula,0
507,Proy-2023-habilita,20231130,sistema,nula,0
508,Proy-2023-habilita,20231201,integración,nula,0
509,Proy-2023-habilita,20231202,integración,nula,0
510,Proy-2023-habilita,20231203,integración,nula,0
511,Proy-2023-habilita,20231207,integración,media,1
512,Proy-2023-habilita,20231207,integración,nula,0
513,Proy-2023-habilita,20231209,integración,nula,0
514,Proy-2023-habilita,20231210,sistema,nula,0
515,Proy-2023-habilita,20231212,integración,nula,0
516,Proy-2023-habilita,20231213,integración,crítica,1
517,Proy-2023-habilita,20231213,sistema,nula,0
518,Proy-2023-habilita,20231217,sistema,nula,0
519,Proy-2023-habilita,20231219,integración,media,1
520,Proy-2023-habilita,20231219,integración,nula,0
521,Proy-2023-habilita,20231220,sistema,nula,0
522,Proy-2023-habilita,20231222,sistema,nula,0
523,Proy-2023-habilita,20231223,sistema,crítica,1
524,Proy-2023-habilita,20231224,integración,crítica,1
525,Proy-2023-habilita,20231224,sistema,nula,0
526,Proy-2023-habilita,20231230,sistema,nula,0
527,Proy-2023-habilita,20240102,integración,nula,0
528,Proy-2023-habilita,20240103,integración,nula,0
529,Proy-2023-habilita,20240103,sistema,alta,1
530,Proy-2023-habilita,20240106,integración,media,1
531,Proy-2023-habilita,20240108,integración,nula,0
532,Proy-2020-implementa,20200502,integración,alta,1
533,Proy-2020-implementa,20200621,sistema,nula,0
534,Proy-2020-implementa,20200729,integración,nula,0
535,Proy-2020-implementa,20200822,sistema,nula,0
536,Proy-2020-implementa,20200824,sistema,nula,0
537,Proy-2020-implementa,20200904,sistema,baja,1
538,Proy-2020-implementa,20200908,integración,nula,0
539,Proy-2020-implementa,20200920,integración,nula,0
540,Proy-2020-implementa,20201003,sistema,nula,0
